web-scraper-order,web-scraper-start-url,paginacion,referencias,referencias-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src,marca
"1681951943-3059","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone XS Max 64GB Gris","https://www.ktronix.com/iphone-xs-max-64gb-gris/p/190198783127","iPhone XS Max 64GB Gris","$3.186.000
                                            Hoy","Super Retina, grande y súper grande, precisión en cada color","4.9","39 Opiniones","/medias/190198783127-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxODQyMHxpbWFnZS9qcGVnfGltYWdlcy9oMzIvaDVhLzkwNjYyNDg5NjIwNzguanBnfDcxNzBhOTM4MzUxNTY2OWQ4OGEyMzlkNzQ0ZjM2ZWIwOTU4MGZlMDQyODRjNTBiMjQ5ZGJhNDkxZWIzMmY4Zjk","iPhone"
"1681951948-3060","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone SE 256GB Rojo","https://www.ktronix.com/iphone-se-256gb-rojo/p/194252148396","iPhone SE 256GB Rojo","$3.099.000
                                            Hoy","Modo Retrato. Una razón más para sonreír.","null","null","/medias/194252148396-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzI2fGltYWdlL2pwZWd8aW1hZ2VzL2g3My9oZTAvMTEyNTIxODAxNTY0NDYuanBnfDExODg1MWQxZGQ5NzUxNTg1MGE4MTYwNGQyNTBhNTM4MjhlYzk2OGQyMGM0MTNlMDY5ZThlZDJhZmFiZDc4Mjg","iPhone"
"1681951955-3061","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 13 mini 512GB Blanco Estrella","https://www.ktronix.com/iphone13mini-512gb-blanco-estrella/p/194252692561","iPhone 13 mini 512GB Blanco Estrella","$5.319.000
                                            Hoy","A15, Un chip superrápido que deja atrás a la competencia","3.0","2 Opiniones","/medias/194252692561-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzI4fGltYWdlL2pwZWd8aW1hZ2VzL2g0OC9oNTUvMTA3OTI2NDc0NTg4NDYuanBnfDE1Zjc5Yjk1OGEzZjJjZWRlMTNjMTA4MjMwZjNiNjk1ZDc1ODNlNGE4MzMwZTlmOTQxYjlhNjYwMDY2ZDk0MWU","iPhone"
