web-scraper-order,web-scraper-start-url,paginacion,referencias,referencias-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681673710-2187","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular XIAOMI REDMI A2 32GB Azul","https://www.ktronix.com/celular-xiaomi-redmi-a2-32gb-azul/p/6941812724033","Celular XIAOMI REDMI A2 32GB Azul","$479.900
                                            Hoy","Procesador MTK G36, el más potente en su segmento","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6941812724033-001.jpg?context=bWFzdGVyfGltYWdlc3wzNzg1fGltYWdlL2pwZWd8aDhjL2g4YS8xMzcxNzQ1NzQwMzkzNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5NDE4MTI3MjQwMzNfMDAxLmpwZ3w3ZDRlOWZlOTRiMTQ0ZDgxMThlOTdkNjg5NmMxZmM0NmMwZTg0YmU5NzUzZGZjMGNlYzAzNzA2YTViZTRkMWUz"
"1681673713-2188","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular HUAWEI Nova 10 128GB Purpura","https://www.ktronix.com/celular-huawei-nova-10-128gb-purpura/p/6941487274468","Celular HUAWEI Nova 10 128GB Purpura","$2.299.900
                                            Hoy","Carga rápida de 66W, carga tu teléfono en pocos minutos.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6941487274468-001.jpg?context=bWFzdGVyfGltYWdlc3wzMzEwfGltYWdlL2pwZWd8aDMzL2hlMS8xMzU2Mjg5Njc0NDQ3OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5NDE0ODcyNzQ0NjhfMDAxLmpwZ3w1NGYxMTcyNWIzYTNmYjhlYzRmMWYwODdmZjJmN2U4YTJmODk0ZDY2N2U5NzEzMGRhNzBlMzQ5MjkxNDIyOWMy"
"1681673717-2189","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular ZTE BLADE A31PLUS 32GB DS Gris","https://www.ktronix.com/celular-zte-blade-a31plus-32gb-ds-gris/p/6902176075087","Celular ZTE BLADE A31PLUS 32GB DS Gris","$319.900
                                            Hoy","Conserva todo lo que necesitas con una memoria de 32gb","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6902176075087-001.jpg?context=bWFzdGVyfGltYWdlc3w0NjU3fGltYWdlL2pwZWd8aDQ3L2hmNC8xMzU3NDQ1ODA0ODU0Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MDIxNzYwNzUwODdfMDAxLmpwZ3xkNTFiYjRlNjAwN2MyZTkwYWY0OWE1ZjIxOGQxOGIxZmY5MWQ1ZmI4MzY4MGQxMjQ1ZWM2ZTQ4ZGQwMGUyMGZk"
"1681673721-2190","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 Pro Max 1 TB Negro Espacial","https://www.ktronix.com/iphone-14-pro-max-1tb-negroespacial/p/194253486862","iPhone 14 Pro Max 1 TB Negro Espacial","$9.929.000
                                            Hoy","Cámara gran angular de 48MP","5.0","1 Opinión","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253486862-001.jpg?context=bWFzdGVyfGltYWdlc3wzNjEzfGltYWdlL2pwZWd8aDIwL2g3My8xMzYxOTExMDA1MTg3MC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4Njg2Ml8wMDEuanBnfGE3ZTI5MGVmYWQ2OWMyMDc4MzdiNzY0ZDE3ZTg4NTc4ZmRkZmU0MjI3MzA0YTE2Yzg3ZTJmMTQxMGI5YWNmZjk"
"1681673725-2191","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular ZTE BLADE V40VITA 128GB DS Rojo","https://www.ktronix.com/celular-zte-blade-v40vita-128gb-ds-rojo/p/6902176075636","Celular ZTE BLADE V40VITA 128GB DS Rojo","$659.900
                                            Hoy","Mayor  seguridad, con el sensor de huella lateral","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6902176075636-001.jpg?context=bWFzdGVyfGltYWdlc3w0NjI3fGltYWdlL2pwZWd8aGI2L2gzYS8xMzU3NDQ3NzUxMjczNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MDIxNzYwNzU2MzZfMDAxLmpwZ3wxYjBkNGRmZTljMTJmYWU3YTQ4MzZkNzM5MWJkNmU4MzM1NGNjNzEzZTA4MzMxZTZkZTllNjY5ZDU4NmEyNGNi"
"1681673730-2192","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular XIAOMI Redmi 10C 4+64GB Azul","https://www.ktronix.com/celular-xiaomi-redmi-10c-4-64gb-azul/p/6934177773969","Celular XIAOMI Redmi 10C 4+64GB Azul","$649.900
                                            Hoy","Procesador Snapdragon 680","4.9","20 Opiniones","/medias/6934177773969-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w1NzIwfGltYWdlL2pwZWd8aDE5L2g5OS8xMzM1NTc0MjAwMzIzMC82OTM0MTc3NzczOTY5XzAwMV82MFd4NjBIfGQ5MGQ1ZjhkYTU1MWJmNWI0MGEyNmQ2MmViMjY2MjZiM2FlYjBkMmNmNzE3NTVmYjRmZTE1N2ZkNzc4OTgxYjI"
"1681673734-2193","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","Celular XIAOMI REDMI A2 32GB Negro","https://www.ktronix.com/celular-xiaomi-redmi-a2-32gb-negro/p/6941812723951","Celular XIAOMI REDMI A2 32GB Negro","$479.900
                                            Hoy","Procesador MTK G36, el más potente en su segmento","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6941812723951-001.jpg?context=bWFzdGVyfGltYWdlc3wzNzI2fGltYWdlL2pwZWd8aGE1L2hmZi8xMzcxNzQzMDg2MTg1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5NDE4MTI3MjM5NTFfMDAxLmpwZ3w1NmI0NTk1ODg2ODg2YzBhMzlkY2Q3ZmMxZGEyZDE2MjBkMTM5YjE0NTg4NjgzYTk2Y2Y4NzhhODZjODc3YmU3"
"1681673740-2194","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 256 GB Púrpura","https://www.ktronix.com/iphone14-256gb-purpura/p/194253488293","iPhone 14 256 GB Púrpura","$5.204.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","5.0","2 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488293-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDU0fGltYWdlL2pwZWd8aGU1L2g4MS8xMzYxOTI4MDkwNDIyMi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODI5M18wMDEuanBnfDc5NzFiZWQ0MTg1MTRjNzdiZjZhM2Q3NWQyZDNlYTBiYWViODk5ZjgzZjliNGJmYzIzMDZjYmQ0NGQ1ZGU1MmQ"
"1681673743-2195","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 14 256 GB Azul","https://www.ktronix.com/iphone14256gb-azul/p/194253488316","iPhone 14 256 GB Azul","$5.204.000
                                            Hoy","Chip A15 Bionic GPU 5núcleos rendimiento fuera de serie","5.0","2 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-194253488316-001.jpg?context=bWFzdGVyfGltYWdlc3wzNjU5fGltYWdlL2pwZWd8aGZjL2g1MS8xMzYxOTI5MTUyMTA1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NDI1MzQ4ODMxNl8wMDEuanBnfDBkODAwNDM2NmNiNTA4OThhYjY1ZWE1MmZhNDJiOGZlNDY4OGNiODU4ZTI3YjI0MTljYjhlNmZjYjQ0ZDRjOWI"
"1681673748-2196","https://www.ktronix.com/celulares/telefonos-celulares/c/BI_101_KTRON","","iPhone 12 64 GB Blanco","https://www.ktronix.com/iphone12-64gb-blanco/p/194252029800","iPhone 12 64 GB Blanco","$3.579.000
                                            Hoy","Pantalla Super Retina XDR de 6,1""","4.8","16 Opiniones","/medias/194252029800-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNjQ1fGltYWdlL2pwZWd8aW1hZ2VzL2hjZC9oMDYvOTk0OTEyNjA5ODk3NC5qcGd8YjFhMDA4NDAyODYxZjYzMGE2YmM2ZTI1Y2MwYzVmODc4Njc4MzAxMmMzODA1ZDJiMDM3NDk3NTVjZjUyYTM2Zg"
