web-scraper-order,web-scraper-start-url,paginacion,referencias,referencias-href,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681684696-2978","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora HACEB Carga superior MIZÜ 18 KG Digital Grafito","https://www.ktronix.com/lavadora-haceb-carga-superior-mizu-18-kg-digital-grafito/p/7704353431506","Lavadora HACEB Carga superior MIZÜ 18 KG Digital Grafito","$1.961.900
                                            Hoy","Múltiples programas y funciones","4.6","45 Opiniones","/medias/7704353431506-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNjY5fGltYWdlL2pwZWd8aW1hZ2VzL2gwOC9oNTcvMTA4MDEyNDI4NjU2OTQuanBnfDMyODg5Yzc2MTdjODc3ODFiZTBhZGFiYjc5OWRlODMzOWE3ZTg1Nzk1N2M5YzMzZDIxY2QyMmIzYzg1NjQzY2I"
"1681684702-2979","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora SAMSUNG Carga Superior 13 Kilogramos WA13T5260BV Negro","https://www.ktronix.com/lavadora-samsung-carga-superior-13-kilogramos-wa13t5260bv-negro/p/8806090439353","Lavadora SAMSUNG Carga Superior 13 Kilogramos WA13T5260BV Negro","$2.029.900
                                            Hoy","20 años de garantía en el motor Digital Inverter","4.8","117 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806090439353-001.jpg?context=bWFzdGVyfGltYWdlc3wxMjU5fGltYWdlL2pwZWd8aGI1L2gyMy8xMzQ5NjMxNjQ2MTA4Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTA0MzkzNTNfMDAxLmpwZ3xiZjk4YjYwMDc1ZTA5YzI5ZTAxZGE4N2E5OTM2NGI0MDRkNTQwZmIxZDIyNGE3OTdkMGI5ODgzY2Y4ZTgwZmFl"
"1681684708-2980","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 18KG 7MWTW1805EM Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-18kg-7mwtw1805em-blanco/p/883049388878","Lavadora WHIRLPOOL Carga Superior 18KG 7MWTW1805EM Blanco","$2.439.900
                                            Hoy","Tina en acero inoxidable, ni una mancha","4.6","104 Opiniones","/medias/883049388878-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzQ3fGltYWdlL2pwZWd8aW1hZ2VzL2gzZi9oNGQvOTA4Mjg4MTM0MzUxOC5qcGd8MTVjNDJhNWMyMTkwYmVjYzk5M2YzNzFhNzIwN2I3MTllMTZiZGQ3OTljYTYzMmFkOTEzOTZlM2RkZGMxODhjZA"
"1681684712-2981","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 22KG 8MWTWCO31WJM Blanco","https://www.ktronix.com/lavadora-whirlpool-carga-superior-22kg-8mwtwco31wjm-blanco/p/7501545635854","Lavadora WHIRLPOOL Carga Superior 22KG 8MWTWCO31WJM Blanco","$2.579.900
                                            Hoy","Capacidad de lavado: 22 Kg","4.5","46 Opiniones","/medias/7501545635854-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNDczfGltYWdlL2pwZWd8aW1hZ2VzL2hhNS9oNTcvMTAzNzA0NzA5MDM4MzguanBnfGVlZjY5NTk5NjhjM2I1MDVkYmYwOWI2ZWRmMWNkMTdjYWFmNWQ1Yzc1ZTY3NDhkZWRkNzBlYWQzMGQwN2IxMTE"
"1681684719-2982","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora ACROSS Carga Superior 15KG ALD1545JE Blanco","https://www.ktronix.com/lavadora-across-carga-superior-15kg-ald1545je-blanco/p/7501545637377","Lavadora ACROSS Carga Superior 15KG ALD1545JE Blanco","$1.479.900
                                            Hoy","Carga superior, más compacta y proporciona mayor comodidad","4.6","22 Opiniones","/medias/7501545637377-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzgxfGltYWdlL2pwZWd8aW1hZ2VzL2g5OC9oOWIvOTgzMjM0NDk3NzQzOC5qcGd8NWQxZDk3ZmIxOGFiZTRmZTdiNTc2YzQxNDdmYjA2MjczNDYxNjJhZjEzNDM0MDZkOWRjYmMzMjBlNGIxZDYxYg"
"1681684723-2983","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora ACROSS Carga Superior 14KG WA14RNAHLA Negro","https://www.ktronix.com/lavadora-across-carga-superior-14kg-wa14rnahla-negro/p/7708228051462","Lavadora ACROSS Carga Superior 14KG WA14RNAHLA Negro","$1.659.900
                                            Hoy","Selección automatica de nivel de agua","4.8","110 Opiniones","/medias/7708228051462-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w5MzB8aW1hZ2UvanBlZ3xpbWFnZXMvaDIzL2gyNi8xMTU5Nzg2Mzc4MDM4Mi5qcGd8Yzg4MDFmODFmM2M1M2Q1ZmZlZjFmZjg0ZTk2ODk4NDhmMGEwNzY3ZGQwZTY1Y2M4OWRlMTkzNTBhNTg1M2QzNg"
"1681684728-2984","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora/Secadora LG Carga Frontal 12KG WD12MVC5S6 Negro","https://www.ktronix.com/lavadora-secadora-lg-carga-frontal-12kg-wd12mvc5s6-negro/p/8806091868824","Lavadora/Secadora LG Carga Frontal 12KG WD12MVC5S6 Negro","$3.362.900
                                            Hoy","AI DD™ Inteligencia Artificial, cuidado Inteligente de las prendas","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806091868824-001.jpg?context=bWFzdGVyfGltYWdlc3wyNTkyfGltYWdlL2pwZWd8aDRmL2gyMi8xMzYzODg2OTEyMzEwMi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTE4Njg4MjRfMDAxLmpwZ3w0MGMwN2E4ODRmODFiYzlhM2NlN2VmYmI5NjI3ZDVjMmQ5NTE0MjgxMWMzN2VkODU2MjA4MjM2M2UyNDJiMDY4"
"1681684733-2985","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora KALLEY Carga Superior 14KG K-LD14G Gris","https://www.ktronix.com/lavadora-kalley-carga-superior-14kg-k-ld14g-gris/p/7705946710183","Lavadora KALLEY Carga Superior 14KG  K-LD14G Gris","$1.699.900
                                            Hoy","8 programas de lavado, elige según tu necesidad","4.7","79 Opiniones","/medias/7705946710183-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxOTMyfGltYWdlL2pwZWd8aW1hZ2VzL2g1MC9oMmQvOTg3MTEyMjc1OTcxMC5qcGd8NTBjYzA2ZDgwMjJjOTkzZGI0ZGJhY2RmYWI0ZmExZmM3ZDUwNDQ4MjhlMWFhZTlkODc5NWU2ZDlhMmM4MDI1OQ"
"1681684738-2986","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora WHIRLPOOL Carga Superior 19KG WW19LTAHLA Negro","https://www.ktronix.com/lavadora-whirlpool-carga-superior-19kg-ww19ltahla-negro/p/7708228051134","Lavadora WHIRLPOOL Carga Superior 19KG WW19LTAHLA Negro","$2.099.900
                                            Hoy","Smart Action: Combina 3 tecnologías inteligentes","4.9","30 Opiniones","/medias/7708228051134-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzkzfGltYWdlL2pwZWd8aW1hZ2VzL2hhYy9oYzIvMTE1MjcyMTA5OTE2NDYuanBnfGQ1ZjQ0ZTU5MzBlZjMxZDZjZTUzZTQ1ZDUyMzM1ZDYxZTY4OWRiZjhiNGVhYmU1ZDY0NjZlMmI0Nzc5YzUwNTY"
"1681684743-2987","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/lavado/c/BI_0600_KTRON","","Lavadora SAMSUNG Carga Frontal 22 Kilogramos WF22R6270AC/CO Champaña","https://www.ktronix.com/lavadora-samsung-carga-frontal-22-kilogramos-wf22r6270ac-co-champana/p/8806090574788","Lavadora SAMSUNG Carga Frontal 22 Kilogramos WF22R6270AC/CO Champaña","$4.199.900
                                            Hoy","20 años de garantía en el motor Digital Inverter","4.2","17 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806090574788-001.jpg?context=bWFzdGVyfGltYWdlc3wyMzIyfGltYWdlL2pwZWd8aDc5L2g0OC8xMzQ5NjM0MTg4OTA1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTA1NzQ3ODhfMDAxLmpwZ3w1ZmU2MTVjZDg0NjBlYTQzNjlkYWE5ZTYxMzYxODNiZTQ0ZGJjNGU0MjE0MTk1ZGFmMzkyYWRmMjhjMWI5Mjgw"
