web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681669481-1790","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante LG XBOOM GO XG9QBK Negro","https://www.ktronix.com/parlante-lg-xboom-go-xg9qbk-negro/p/8806091793058","","Parlante LG XBOOM GO XG9QBK Negro","$1.399.900
                                            Hoy","Woofer de 4.5” para elevar el sonido al maximo","5.0","2 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806091793058-001.jpg?context=bWFzdGVyfGltYWdlc3wxNTIyfGltYWdlL2pwZWd8aDNhL2hiYy8xMzU2NTY5MzU5MTU4Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTE3OTMwNThfMDAxLmpwZ3w3NTA0NjQ3YzBiNTA1ZTk2ZGFhMzZhMWM2ZWQxZjUxZGY1ZjgwYzU5ODMzY2U3OTJmNTkxMGZkZTBiN2E4OGVk"
"1681669486-1791","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Minicomponente PANASONIC HC300 20 Watts Negro Equipo de Sonido","https://www.ktronix.com/minicomponente-panasonic-hc300-20-watts-negro-equipo-sonido/p/885170330092","","Minicomponente PANASONIC HC300 20 Watts Negro Equipo de Sonido","$449.900
                                            Hoy","Amplificador digital de dos canales, más potencia de salida","4.8","38 Opiniones","/medias/885170330092-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w1Nzl8aW1hZ2UvanBlZ3xpbWFnZXMvaDg5L2gwZC84ODU2Mzk3NDQ3MTk4LmpwZ3xkOGUxODAzZjgxNmZlY2NiZWY4MjFkMWY1YmQ0MTdmMzc5OGQxNmQ2NWMzMDliMzc5ODY0NGM1MWZmZDIyNzYx"
"1681669490-1792","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante KALLEY K-SPK300LLED Negro","https://www.ktronix.com/parlante-kalley-k-spk300lled-negro/p/7705946665223","","Parlante KALLEY K-SPK300LLED Negro","$899.900
                                            Hoy","Disfruta de tu música favorita: Bluetooth, entrada USB y entrada Auxiliar (RCA)","4.8","19 Opiniones","/medias/7705946665223-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyOTExfGltYWdlL2pwZWd8aW1hZ2VzL2g0MS9oM2EvMTAzODM2MTg4MzQ0NjIuanBnfGJiNzEwZTRkM2I5NTFiMmY4NGNiYzcxOWYxM2Q1ZDIxYzY4YmRiNjhjMzI5NTNiZGQ2ODdmYzQxOTJlMDEzN2I"
"1681669494-1793","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante JBL PARTYBOX GO Negro","https://www.ktronix.com/parlante-jbl-partybox-go-negro/p/6925281972188","","Parlante JBL PARTYBOX GO Negro","$1.839.900
                                            Hoy","Sincronizan las luces led con la música","5.0","5 Opiniones","/medias/6925281972188-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxODg2fGltYWdlL2pwZWd8aW1hZ2VzL2g4Ni9oMTAvMTE1ODcyOTQ5MjA3MzQuanBnfDc2OTJkZDY1ZjRmYmY3ODE3YmQ1ODlmMTQ5MjE3YzAxMGI1ZDBlNDY3ZTY4ZGQ0YjY5ODRiMjUwMzQ2YjdiODc"
"1681669499-1794","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante JBL PARTYBOX Encore Negro","https://www.ktronix.com/parlante-jbl-partybox-encore-negro/p/6925281998102","","Parlante JBL PARTYBOX Encore Negro","$1.099.900
                                            Hoy","Espectáculo de luces que se sincroniza con el ritmo","5.0","2 Opiniones","/medias/6925281998102-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNjkzfGltYWdlL2pwZWd8aW1hZ2VzL2hhMC9oMDcvMTMzMDE0MDEyMjMxOTguanBnfGYwZWEzMWUyMDYxZmUzOWIwZTY4ZWQ3ZDAxNGI0MWJjNzhkZjNiYWQwMTQ5MWMxZjFhMjZiYjRiNjY4YmMwYTY"
"1681669503-1795","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante SONY SRS-XV900/B Negro","https://www.ktronix.com/parlante-sony-srs-xv900-b-negro/p/4548736140653","","Parlante SONY SRS-XV900/B Negro","$3.299.900
                                            Hoy","Disfruta mas tiempo de tu música: hasta 25 horas de batería","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4548736140653-001.jpg?context=bWFzdGVyfGltYWdlc3wyMDc5fGltYWdlL2pwZWd8aDQ0L2hlMS8xMzY1MDE5Mzk3MzI3OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ1NDg3MzYxNDA2NTNfMDAxLmpwZ3xlOWY2ZDhlZDZlMWE4YTc1ZDMwZmZiMWE3OTIwZTdkYjFlMjBjOTY3ZGE0YmFlMjgwMDNiMTcwYmZkODYyMzA2"
"1681669507-1796","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Barra de Sonido TCL TS6100 Negro","https://www.ktronix.com/barra-sonido-tcl-ts6100-negro/p/5901292515508","","Barra de Sonido TCL TS6100 Negro","$349.900
                                            Hoy","Excelente experiencia de sonido en tu hogar con Dolby Audio","5.0","2 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-5901292515508-001.jpg?context=bWFzdGVyfGltYWdlc3wxMDkyfGltYWdlL2pwZWd8aDFkL2g3Ny8xMzU3MTU1ODYwNDgzMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzU5MDEyOTI1MTU1MDhfMDAxLmpwZ3xkYzU2MjU0ZjU4ZWQ4ZDkwMzFjYzEyZWViNDQxNTlhZDAyMjU2YmE3Y2JmOTlkYzVlMDdiYTkwZWNhYjFiNWZk"
"1681669512-1797","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Microcomponente PANASONIC PM250PH","https://www.ktronix.com/microcomponente-panasonic-pm250ph/p/885170194038","","Microcomponente PANASONIC PM250PH","$399.900
                                            Hoy","Disfruta tu música mediante función streaming inalámbrica","4.8","49 Opiniones","/medias/885170194038-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w4OTV8aW1hZ2UvanBlZ3xpbWFnZXMvaDQwL2gwOC84ODU1NDAzNjU5Mjk0LmpwZ3wxOTI2MWRjMWFlM2E5YjQxMmQyOTkxMmRlYjAwOTY3OGMwMjg1YWY4NjEwNzc4M2M5MTk2NjIyMjdkMTI5OGRi"
"1681669516-1798","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Barra de Sonido LG SP2 Negro","https://www.ktronix.com/barra-sonido-lg-sp2-negro/p/8806091297464","","Barra de Sonido LG SP2 Negro","$599.900
                                            Hoy","4 Modos de sonido para disfrutar mejor tú contenido","4.7","43 Opiniones","/medias/8806091297464-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w1ODR8aW1hZ2UvanBlZ3xpbWFnZXMvaDUwL2g5Yi8xMDY4OTczMjc3MTg3MC5qcGd8NjIxOTlkOGEzNjQ0ZjQ2OTkzNjBlNjAzZDViOTRjZmU0NzE2MjRiZDFlZjkyZDFhM2UxOWFhYmMxMTI4NGYwYQ"
"1681669520-1799","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Microcomponente PANASONIC HC200 20Watts Negro","https://www.ktronix.com/microcomponente-panasonic-hc200-20watts-negro/p/885170330115","","Microcomponente PANASONIC HC200 20Watts Negro","$349.900
                                            Hoy","Amplificador digital de dos canales","4.8","80 Opiniones","/medias/885170330115-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w1NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaDE1L2g4Ny84ODU2NDAwOTg2MTQyLmpwZ3w5NTc3Yzk2NzNiYzY4OTM1OGI3MzAxZmE5MGIzMWEwMTE0NGY4Yzg3MDIyMDIxMGZiN2QwMTI0N2I1MmZkZDdm"
