web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681682776-2845","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV TCL 50"" Pulgadas 127 cm 50P735 4K-UHD LED Smart TV Google","https://www.ktronix.com/tv-tcl-50-pulgadas-127-cm-50p735-4k-uhd-led-smart-tv-google/p/6921732883362","","TV TCL 50"" Pulgadas 127 cm 50P735 4K-UHD LED Smart TV Google","$1.599.900
                                            Hoy","El entretenimiento que te gusta con la ayuda de Google TV","4.9","55 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6921732883362-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDU0fGltYWdlL2pwZWd8aDgzL2gzMC8xMzYzMzM4ODY3NTEwMi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MjE3MzI4ODMzNjJfMDAxLmpwZ3xkM2I2ODQxYWY0M2FlMmY3YThkM2Q3MGExMTE2NzczNWE4ZmJkOTdmNWJlODlmNTk1ZjliMDllOGQxYTVmMGJm"
"1681682781-2846","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 65"" Pulgadas 165.1 cm QN65QN85BA 4K-UHD NEO QLED MINI LED Smart TV","https://www.ktronix.com/tv-samsung-65-pulgadas-1651-cm-qn65qn85ba-4k-uhd-neo-qled-mini-led-smart-tv/p/8806094005165","","TV SAMSUNG 65"" Pulgadas 165.1 cm QN65QN85BA 4K-UHD NEO QLED MINI LED Smart TV","$4.999.900
                                            Hoy","Diseño fino y sofisticado que se adapta a tus espacios.","5.0","10 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094005165-001.jpg?context=bWFzdGVyfGltYWdlc3w1MjQxfGltYWdlL2pwZWd8aDI3L2g2ZS8xMzU4NzgwMzYwMjk3NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQwMDUxNjVfMDAxLmpwZ3w3N2NjM2NhYzQ4NDcyYWM1NjM3ZDMyOTBkMDgxNTQxYmJjOTA5ZDEzNzdiYWZlODkyNzJiZDRjYjM0M2VkNjAw"
"1681682786-2847","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV CHALLENGER 58"" Pulgadas 146 cm 58LO70BT 4K-UHD LED Smart TV Android","https://www.ktronix.com/tv-challenger-58-pulgadas-146-cm-58lo70bt-4k-uhd-led-smart-tv-android/p/7705191042329","","TV CHALLENGER 58"" Pulgadas 146 cm 58LO70BT 4K-UHD LED Smart TV Android","$1.939.900
                                            Hoy","Pantalla UHD-4K para que no te pierdas ningun detalle","4.9","57 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-7705191042329-001.jpg?context=bWFzdGVyfGltYWdlc3w0MTcwfGltYWdlL2pwZWd8aDk5L2hmYi8xMzY0ODg3NzE5MTE5OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzc3MDUxOTEwNDIzMjlfMDAxLmpwZ3xlOGIxNTNkMzZhZDQwOTdhNGU1ZDY5OGNhMmViMjU5YTk1NzYxYmMzZjM5Zjk2MjU1OGQ3YWI5Nzk3MjRmNjk1"
"1681682791-2848","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 55"" Pulgadas 139.7 cm QN55QN85BA 4K-UHD NEO QLED MINI LED Smart TV","https://www.ktronix.com/tv-samsung-55-pulgadas-1397-cm-qn55qn85ba-4k-uhd-neo-qled-mini-led-smart-tv/p/8806094005127","","TV SAMSUNG 55"" Pulgadas 139.7 cm QN55QN85BA 4K-UHD NEO QLED MINI LED Smart TV","$3.599.900
                                            Hoy","Diseño fino y sofisticado que se adapta a tus espacios.","4.8","23 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094005127-001.jpg?context=bWFzdGVyfGltYWdlc3w1MjQxfGltYWdlL2pwZWd8aGNhL2g1OS8xMzU4NzgwMzAxMzE1MC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQwMDUxMjdfMDAxLmpwZ3xmOWI4NzM2ZTFlZmQ1NDMwMzZkZmRmZTFhNGFjZjRmZDIyZTJmMDQ0MmNkNzVmNDA3ODk3ZDRmYWU2YWZjYmFl"
"1681682796-2849","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 43"" Pulgadas 109.22 cm QN43Q65BAKXZL 4K-UHD QLED Smart TV","https://www.ktronix.com/tv-samsung-43-pulgadas-10922-cm-qn43q65bakxzl-4k-uhd-qled-smart-tv/p/8806094189728","","TV SAMSUNG 43"" Pulgadas 109.22 cm QN43Q65BAKXZL 4K-UHD QLED Smart TV","$1.699.900
                                            Hoy","Perfil delgado y minimalista para fácil instalación.","5.0","73 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094189728-001.jpg?context=bWFzdGVyfGltYWdlc3w0NjI0fGltYWdlL2pwZWd8aDQ5L2gwOC8xMzU4NzgxNTM5OTQ1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQxODk3MjhfMDAxLmpwZ3wxMTQ4NDc1Mzk1ODk3YWY4NzEzYWYwYTQyZGQxNzU5YmFhMzk4M2ZiMTAxMTgzZTE5ZDRiOTBhM2Q0OGRiZjBm"
"1681682800-2850","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 50"" Pulgadas 127 cm 50BU8000 4K-UHD LED Smart TV","https://www.ktronix.com/tv-samsung-50-pulgadas-127-cm-50bu8000-4k-uhd-led-smart-tv/p/8806094043259","","TV SAMSUNG 50"" Pulgadas 127 cm 50BU8000 4K-UHD LED Smart TV","$1.799.900
                                            Hoy","Olvidate de las baterias con el Control Remoto Eco","4.9","110 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094043259-001.jpg?context=bWFzdGVyfGltYWdlc3w0OTk1fGltYWdlL2pwZWd8aGUxL2hjNy8xMzU4NzgwNDE5Mjc5OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQwNDMyNTlfMDAxLmpwZ3xiMTcwYzlhN2NlNzczYzE3OGYyMWQyYmJlMTFmZWUyZTFmYTc4N2IwMzM2MjY3OWY2MzVkYTIzZjZhYzA4ZWQ4"
"1681682805-2851","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 50"" Pulgadas 127 cm QN50Q65BA 4K-UHD QLED Smart TV","https://www.ktronix.com/tv-samsung-50-pulgadas-127-cm-qn50q65ba-4k-uhd-qled-smart-tv/p/8806094189353","","TV SAMSUNG 50"" Pulgadas 127 cm QN50Q65BA 4K-UHD QLED Smart TV","$1.899.900
                                            Hoy","Disfruta los colores al 100% para una imagen más realista","5.0","10 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094189353-001.jpg?context=bWFzdGVyfGltYWdlc3wyOTA1fGltYWdlL2pwZWd8aGQ0L2hjZC8xMzU4NzgxMjQ1MDMzNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQxODkzNTNfMDAxLmpwZ3wwMzFjNDU5NDI4ZTUxNDZiZGRhMjMwNzU5NWU0Y2VkZWRhNzY0ODYwYjMxMTk5Yjg0OTBlY2Q3YzA5YmE3OWMx"
"1681682809-2852","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV TCL 55"" Pulgadas 139 cm 55P735 4K-UHD LED Smart TV Google","https://www.ktronix.com/tv-tcl-55-pulgadas-139-cm-55p735-4k-uhd-led-smart-tv-google/p/6921732882815","","TV TCL 55"" Pulgadas 139 cm 55P735 4K-UHD LED Smart TV Google","$1.859.900
                                            Hoy","El entretenimiento que te gusta con la ayuda de Google TV","4.9","50 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-6921732882815-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDU0fGltYWdlL2pwZWd8aDZlL2gyOC8xMzYzMzM2MzkwMjQ5NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzY5MjE3MzI4ODI4MTVfMDAxLmpwZ3wwZDdjNTlkMzZlMjUxZmNlOGNkYTgxNTZkYzEzNjAzNjE5YzEzMjkxMjIxMzMwNmJjMGEzODA5NTg0OGNhMTli"
"1681682814-2853","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV SAMSUNG 55"" Pulgadas 139,7 cm QN55Q65BA 4K-UHD QLED Smart TV","https://www.ktronix.com/tv-samsung-55-pulgadas-1397-cm-qn55q65ba-4k-uhd-qled-smart-tv/p/8806094189377","","TV SAMSUNG 55"" Pulgadas 139,7 cm QN55Q65BA 4K-UHD QLED Smart TV","$2.399.900
                                            Hoy","Disfruta los colores al 100% para una imagen más realista","4.9","139 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806094189377-001.jpg?context=bWFzdGVyfGltYWdlc3w0NjI0fGltYWdlL2pwZWd8aDIxL2hkNi8xMzU4NzgxMzA0MDE1OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTQxODkzNzdfMDAxLmpwZ3wyOTAxYjliNWEwYjkyNmI0ZmUyNWIyMjA0YTMyNzg1NjEyNTdjZDcwYWFiMDc4Zjc3YmEzOTdjYzI4ODM3Mzdm"
"1681682819-2854","https://www.ktronix.com/tv-video/televisores/c/BI_120_KTRON","TV LG 50"" Pulgadas 126 cm 50NANO75SQA 4K-UHD NanoCell Smart TV","https://www.ktronix.com/tv-lg-50-pulgadas-126-cm-50nano75sqa-4k-uhd-nanocell-smart-tv/p/8806091634252","","TV LG 50"" Pulgadas 126 cm 50NANO75SQA 4K-UHD NanoCell Smart TV","$1.999.900
                                            Hoy","Procesador IA potencia tus contenidos, experiencia más real","4.9","51 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806091634252-001.jpg?context=bWFzdGVyfGltYWdlc3w0MDkyfGltYWdlL2pwZWd8aDA1L2g1MS8xMzYzNzcwMDkxMTEzNC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTE2MzQyNTJfMDAxLmpwZ3wwZTdjYjJmNTQ0Njg5YWQ1ZWE1MDYxZWNjN2Y5MzYyZWZmMDg0Nzc2MWU3NTFkMmJlYTg1M2MxNjk2YzNjMThm"
