web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681681886-2716","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera HACEB No Frost Congelador Superior 254 Litros Manija Integrada SIBERIA Inox","https://www.ktronix.com/nevera-haceb-no-frost-congelador-superior-254-litros-manija-integrada-siberia-inox/p/7704353404326","","Nevera HACEB No Frost Congelador Superior 254 Litros  Manija Integrada SIBERIA Inox","$1.716.200
                                            Hoy","Nuevo dispensador Slim","4.8","142 Opiniones","/medias/7704353404326-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzA5fGltYWdlL2pwZWd8aW1hZ2VzL2hlMy9oMGUvMTA3NTc1NDY5NjcwNzAuanBnfGVhMDcxOTRjOTJjOWU1ZmVmNjQwYmNlYjFmMjE2YTQ2N2M3Mjg3NTcxZmFlMjE1MjY0NzI5OWMxNzQyMTAyYzM"
"1681681891-2717","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón SAMSUNG Tipo Europeo 625 Litros Brutos RF22A4220SG/CO Grafito","https://www.ktronix.com/nevecon-samsung-tipo-europeo-625-litros-brutos-rf22a4220sg-co-grafito/p/8806092512443","","Nevecón SAMSUNG Tipo Europeo 625 Litros Brutos RF22A4220SG/CO Grafito","$5.799.900
                                            Hoy","20 años de garantía en el Compresor Digital Inverter","4.7","44 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806092512443-001.jpg?context=bWFzdGVyfGltYWdlc3wxNjIxfGltYWdlL2pwZWd8aDM5L2hmNC8xMzQ5NjQwODUzOTE2Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTI1MTI0NDNfMDAxLmpwZ3wzMzNlZDljYzljYzg0Mjc0ZTlkNWZhZGFhMjBjNTRmZjBlM2UyYjU5OGU5YmM1YmI3NzQ1MTE0ZWZiMmMyZWVh"
"1681681897-2718","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost Congelador Superior 412 Litros RMP425FYCU Inox","https://www.ktronix.com/nevera-mabe-no-frost-congelador-superior-412-litros-rmp425fycu-inox/p/7704712450131","","Nevera MABE No Frost Congelador Superior 412 Litros  RMP425FYCU Inox","$2.529.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saver","4.7","102 Opiniones","/medias/7704712450131-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjM3fGltYWdlL2pwZWd8aW1hZ2VzL2hlYS9oNzYvMTA3NTgzNDY3MDI4NzguanBnfDc3NWExZTczMjFiZTljZTBiYjc4NTgwMzk3ZjkxZmMzZDQ3N2Y4YjM4YjA0NGM3NzZkNjAxYTBiOGQ1ZjBkNTc"
"1681681903-2719","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecon LG InstaView Tipo Europeo 831 Litros Brutos LM85SXD Negro","https://www.ktronix.com/nevecon-lg-instaview-tipo-europeo-831-litros-brutos-lm85sxd-negro/p/8806091458902","","Nevecon LG InstaView Tipo Europeo 831 Litros Brutos LM85SXD Negro","$15.749.900
                                            Hoy","Craft Ice Maker (Hielos Redondo)","5.0","10 Opiniones","/medias/8806091458902-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMTYzfGltYWdlL2pwZWd8aW1hZ2VzL2hlNS9oYmYvMTE0NTc5MTg5MjY4NzguanBnfGJkN2EzN2U3OTNhYjY3OWZlODJkZGExOWIwZTg4ODRiNzExNWZiYTM2OWJlNmQyZWNmNzY4YzYxMWI1YTQzM2Y"
"1681681909-2720","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón LG InstaView Craft Ice Side by Side 637 Litros LS66SXTC Negro","https://www.ktronix.com/nevecon-lg-instaview-craft-ice-side-by-side-637-litros-ls66sxtc-negro/p/8806091433060","","Nevecón LG InstaView Craft Ice Side by Side 637 Litros  LS66SXTC Negro","$9.299.900
                                            Hoy","InstaView (Toca dos Veces y mira hacia el interior)","4.9","14 Opiniones","/medias/8806091433060-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyOTQwfGltYWdlL2pwZWd8aW1hZ2VzL2gyNi9oZmQvMTI0MTc0MDk2MTM4NTQuanBnfDA3NmUxNWMwMmMxY2I4OWM3MTc4MGJmZWRiZmQ4NWNkMzg0NmVlODU0ZTE3NjVjMjRkM2E2YmNmY2M1MzNlOGM"
"1681681916-2721","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón LG Instaview Side by Side 768 Litros LS77SXTC Negro","https://www.ktronix.com/nevecon-lg-instaview-side-by-side-768-litros-ls77sxtc-negro/p/8806091434807","","Nevecón LG Instaview Side by Side 768 Litros LS77SXTC Negro","$9.919.900
                                            Hoy","InstaView (Toca dos veces y mira hacia al interior)","4.9","9 Opiniones","/medias/8806091434807-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNTUzfGltYWdlL2pwZWd8aW1hZ2VzL2hjNC9oM2QvMTE1MzM5OTU5MDA5NTguanBnfDY2ODM2ODJiZTIyNWU4ZTBjZTlhZjliOGQ2MTk4OWVlMjMxNmZjMjhmMDljMGExYmE3MzNjZDZiZDdlNDQ1YzE"
"1681681921-2722","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecón SAMSUNG Side by Side 793 Litros RS28A5000B1/CO Grafito","https://www.ktronix.com/nevecon-samsung-side-by-side-793-litros-rs28a5000b1-co-grafito/p/8806090817144","","Nevecón SAMSUNG Side by Side 793 Litros  RS28A5000B1/CO Grafito","$4.899.900
                                            Hoy","20 años de garantía en el Compresor Digital Inverter","4.8","51 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-8806090817144-001.jpg?context=bWFzdGVyfGltYWdlc3wxMzM5fGltYWdlL2pwZWd8aGVmL2gxOC8xMzQ5NjM4MjU4NjkxMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4MDYwOTA4MTcxNDRfMDAxLmpwZ3w4ZTY3NWU3ZmNjZjAxNDA4NzdmNTZhYTI0NjcwNmRmMDc4NmMxMzIyNmZiNzkzMGYzNDk2NTFhYWJmZmIzM2Qx"
"1681681925-2723","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera WHIRLPOOL No Frost Congelador Superior 303 Litros Brutos WRW32CKTWW Gris","https://www.ktronix.com/nevera-whirlpool-no-frost-congelador-superior-303-litros-brutos-wrw32cktww-gris/p/7704353383676","","Nevera WHIRLPOOL No Frost Congelador Superior 303 Litros Brutos WRW32CKTWW Gris","$1.969.900
                                            Hoy","Control Electrónico de Temperatura","4.8","108 Opiniones","/medias/7704353383676-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMzA0fGltYWdlL2pwZWd8aW1hZ2VzL2hhYy9oZDgvMTEwNDMxMDcwNzgxNzQuanBnfDBjOTRkODBlYWE0MzYyZWI2YjY0MDk0ZTA4MTc3NmFlYzkxMDgyMWM0MzQ4ZjY4OThlZmQ5OWRjM2E1M2Y1NDk"
"1681681930-2724","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevecon LG No Frost Tipo Europeo 618 Litros LM22SGPK Gris","https://www.ktronix.com/nevecon-lg-no-frost-tipo-europeo-618-litros-lm22sgpk-gris/p/8806091458971","","Nevecon LG No Frost Tipo Europeo 618 Litros LM22SGPK Gris","$6.079.900
                                            Hoy","Multi Air Flow (Multiples salidas de flujo de aire)","4.7","37 Opiniones","/medias/8806091458971-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxOTk1fGltYWdlL2pwZWd8aW1hZ2VzL2g4Yi9oMDcvMTA3NDMyMzk3MzczNzQuanBnfGQ0YjY3ZDcxZDNkNjczMmRhN2FiZDhkNTUxZTFlODk5MDY1NTZkNGFkYTlmNDdlN2I0MmQ5YzJlNGM0ZjE1ZTM"
"1681681938-2725","https://www.ktronix.com/electrodomesticos/grandes-electrodomesticos/refrigeracion/c/BI_0610_KTRON","Nevera MABE No Frost Congelador Superior 394 Litros RMP405FYCU Inox","https://www.ktronix.com/nevera-mabe-no-frost-congelador-superior-394-litros-rmp405fycu-inox/p/7704712879055","","Nevera MABE No Frost Congelador Superior 394 Litros  RMP405FYCU Inox","$2.389.900
                                            Hoy","Ahorro de energia con Tecnologia Home Energy Saver","4.8","255 Opiniones","/medias/7704712879055-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxMjM3fGltYWdlL2pwZWd8aW1hZ2VzL2gyYS9oMTMvMTA3NTgzOTM2MjY2NTQuanBnfDgxOTdmYWM3ZTVkMzA1Y2IxNzVhMWIzMDViMTk5NDg0NTE5N2RhYWViNGI3NzA2Zjc5MTg4NGZlMDFmNjIzMzc"
