web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681680214-2457","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil ASUS Vivobook Pro OLED 14"" Pulgadas K3400PH - Intel Core I5 - RAM 8GB - Disco SSD 512 GB - Plateado","https://www.ktronix.com/computador-portatil-asus-vivobook-pro-oled-14-pulgadas-k3400ph-intel-core-i5-ram-8gb-disco-ssd-512-gb-plateado/p/4711081686842","","Computador Portátil ASUS Vivobook Pro OLED 14"" Pulgadas K3400PH - Intel Core I5 - RAM 8GB - Disco SSD 512 GB - Plateado","$3.799.000
                                            Hoy","Descubre la nueva visión del mundo con su pantalla 2.8K OLED","5.0","8 Opiniones","/medias/4711081686842-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzODA2fGltYWdlL2pwZWd8aW1hZ2VzL2g0MS9oNDQvMTIzOTAwMzk1MTkyNjIuanBnfGI1NmY2MTFiN2U1MmE5MDE0NTk0MGZmZjc3NWI4MTY4NThlOGFiNzllYTcyMDMxMTUzYjE4NDRkZDMzZWRiZmQ"
"1681680219-2458","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil ASUS Zenbook OLED 14"" Pulgadas UX3402ZA - Intel Core i5 - RAM 16GB - Disco SSD 512 GB - Azul","https://www.ktronix.com/computador-portatil-asus-zenbook-oled-14-pulgadas-ux3402za-intel-core-i5-ram-16gb-disco-ssd-512-gb-azul/p/4711081929659","","Computador Portátil ASUS Zenbook OLED 14"" Pulgadas UX3402ZA - Intel Core i5 - RAM 16GB - Disco SSD 512 GB - Azul","$5.499.000
                                            Hoy","Incluye funda y adaptador puerto lan ethernet","4.0","1 Opinión","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4711081929659-001.jpg?context=bWFzdGVyfGltYWdlc3wzNDYyfGltYWdlL2pwZWd8aDY2L2hkNC8xMzY2MTQwNTA4NTcyNi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ3MTEwODE5Mjk2NTlfMDAxLmpwZ3xhY2UyM2RhOGIxZjRiZWE3NmUyMjY3NTMyYzk4MzEzMmFjYmQ3MTgxYjVjODkxNDZlNzBiNWUxZDdhZTg2NjRl"
"1681680226-2459","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil HP 15.6"" Pulgadas ef2507la - AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB - Plata Natural","https://www.ktronix.com/computador-portatil-hp-156-pulgadas-ef2507la-amd-ryzen-5-ram-8gb-disco-ssd-512-gb-plata-natural/p/196337771529","","Computador Portátil HP 15.6"" Pulgadas ef2507la - AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB - Plata Natural","$2.049.000
                                            Hoy","Cámara HD HP TrueVision. Videochat claros, aun con poca luz","5.0","28 Opiniones","/medias/196337771529-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMTIxfGltYWdlL2pwZWd8aW1hZ2VzL2g2Mi9oNjkvMTE2Mzc4NzM5OTk5MDIuanBnfGRkZTAxMzE1ZjA5YzMxMWJiMWY1MjJmYmQwOWI2YjE4ZWFjMWYwZTQ5MjVjMjhhNTJhMjFhNzExNTBmNjI4MWI"
"1681680231-2460","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad 5 - Intel Core i5 - RAM 16GB - Disco SSD 256GB - Gris","https://www.ktronix.com/computador-portatil-lenovo-156-pulgadas-ideapad-5-intel-core-i5-ram-16gb-disco-ssd-256gb-gris/p/196380555831","","Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad 5 - Intel Core i5 - RAM 16GB - Disco SSD 256GB - Gris","$2.999.000
                                            Hoy","Pantalla antirreflejo full HD, Imágenes mas claras y nítidas","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196380555831-001.jpg?context=bWFzdGVyfGltYWdlc3wyODc0fGltYWdlL2pwZWd8aDUyL2hhYS8xMzY0MjAyODIyMDQ0Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjM4MDU1NTgzMV8wMDEuanBnfDZiNTBlN2FiZGIxMjBiYTljZDAxOWY1NjNhNDBjZjQyZGFiOGY0NmNjYmI3ZDFiNWQyNGRiMjZlZmFiYmNkMzY"
"1681680236-2461","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer Victus HP 15.6"" Pulgadas fb0107la AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB - Negro","https://www.ktronix.com/computador-portatil-gamer-victus-hp-156-pulgadas-fb0107la-amd-ryzen-5-ram-8gb-disco-ssd-512-gb-negro/p/196548844975","","Computador Portátil Gamer Victus HP 15.6"" Pulgadas fb0107la AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB - Negro","$3.399.000
                                            Hoy","Altavoces dobles HP Audio Boost con  sintonización de B&O","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196548844975-001.jpg?context=bWFzdGVyfGltYWdlc3wyNDM4fGltYWdlL2pwZWd8aGU0L2gxZS8xMzcyNzAwNzA0NzcxMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjU0ODg0NDk3NV8wMDEuanBnfGYzN2I4OTNjYjY4YzE5MjcxYmIyMDJlYmJhYWIwNDRkY2M0MjcxZmJkNTM2MjI0ZDY3NjcwMmUyZjI3OWE5MzU"
"1681680242-2462","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","MacBook Pro 14"" pulgadas MKGT3E/A Chip M1 Pro 1 TB SSD - Plata","https://www.ktronix.com/macbook-pro-14pulgadas-mkgt3e-a-chip-m1-pro-1tb-ssd-plata/p/194252550472","","MacBook Pro 14"" pulgadas MKGT3E/A Chip M1 Pro 1 TB SSD - Plata","$13.199.000
                                            Hoy","Hasta 17 horas de reproducción de video.","5.0","4 Opiniones","/medias/194252550472-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMDc5fGltYWdlL2pwZWd8aW1hZ2VzL2hmNC9oNmUvMTEzNzYyNjE3NTkwMDYuanBnfDI3YmEzYTNjODZkNGRmZGUwMzU1YjhkM2VkMzQ5ZDk3NmUyN2UyZjdiOWUwODdjY2MyNjQ4MGU3M2NiMzM3OGM"
"1681680246-2463","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer LENOVO 15.6"" Pulgadas IdeaPad Gaming 3 - Intel CI7 - RAM 16GB - Disco SSD 512GB - Blanco","https://www.ktronix.com/computador-portatil-gamer-lenovo-156-pulgadas-ideapad-gaming-3-intel-ci7-ram-16gb-disco-ssd-512gb-blanco/p/196380731907","","Computador Portátil Gamer LENOVO 15.6"" Pulgadas IdeaPad Gaming 3 - Intel CI7 - RAM 16GB - Disco SSD 512GB - Blanco","$6.759.000
                                            Hoy","Tarjeta grafica independiente, potencia tareas graficas","4.6","7 Opiniones","/medias/196380731907-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w0MzA1fGltYWdlL2pwZWd8aDMxL2hmYS8xMzQ2NTI1NzU3NDQzMC8xOTYzODA3MzE5MDdfMDAxXzYwV3g2MEh8MTJiNmE1Y2ZiMWYwNDQwZDRlMzY4NzlkYmIyZDY0M2IyOWY1MTk3MWI3NWY4ZDU3MmFhNTAwYTQ4Mzk5NDIyYg"
"1681680251-2464","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad 5 - Intel Core i7 - RAM 8GB - Disco SSD 512GB - Gris","https://www.ktronix.com/computador-portatil-lenovo-156-pulgadas-ideapad-5-intel-core-i7-ram-8gb-disco-ssd-512gb-gris/p/196379250280","","Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad 5 - Intel Core i7 - RAM 8GB - Disco SSD 512GB - Gris","$3.599.000
                                            Hoy","Cuerpo en aluminio, elegancia y comodidad a donde vayas.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196379250280-001.jpg?context=bWFzdGVyfGltYWdlc3wyOTU0fGltYWdlL2pwZWd8aDA3L2hmMC8xMzY0OTIyMDQzNTk5OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjM3OTI1MDI4MF8wMDEuanBnfDE3NTNkY2E0Yjc0ZGJiNWE2YzllMWQzYTViNjczMDYxMTU4NWY1ZWY0NjhkODM4MTIzMTljZjE4MWUyYTJiM2I"
"1681680257-2465","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil Gamer LENOVO 15,6"" Pulgadas IdeaPad Gaming 3 - Intel Core i7 - RAM 8GB - Disco SSHD 1TB 256GB - Negro","https://www.ktronix.com/computador-portatil-gamer-lenovo-156-pulgadas-ideapad-gaming-3-intel-core-i7-ram-8gb-disco-sshd-1tb-256gb-negro/p/196118637624","","Computador Portátil Gamer LENOVO 15,6"" Pulgadas IdeaPad Gaming 3 - Intel Core i7 - RAM 8GB - Disco SSHD 1TB 256GB - Negro","$5.199.000
                                            Hoy","Incluye Protección contra daños accidental x 3 meses (ADP)","5.0","2 Opiniones","/medias/196118637624-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNTM3fGltYWdlL2pwZWd8aW1hZ2VzL2gxYy9oN2MvMTE2MTUxMDM0ODM5MzQuanBnfDZkOTk0NmRkYmJiZjBkZDA5ZDVmOGUxZjkwOTgzMmNlYjEyZDU4NGNhNzI2NWE0Y2ZiZWI2NDdmMTgyYjliN2I"
"1681680262-2466","https://www.ktronix.com/computadores-tablet/computadores-portatiles/c/BI_104_KTRON","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - AMD Ryzen 3 - RAM 8GB - Disco SSD 512GB - Azul","https://www.ktronix.com/computador-portatil-lenovo-14-pulgadas-ideapad-3-amd-ryzen-3-ram-8gb-disco-ssd-512gb-azul/p/196802802123","","Computador Portátil LENOVO 14"" Pulgadas IdeaPad 3 - AMD Ryzen 3 - RAM 8GB - Disco SSD 512GB - Azul","$1.779.000
                                            Hoy","Resolución Full HD, imágenes mas nítidas.","null","null","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196802802123-001.jpg?context=bWFzdGVyfGltYWdlc3wzMDgwfGltYWdlL2pwZWd8aDA2L2gxMC8xMzY1MDE3MDM4MDMxOC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjgwMjgwMjEyM18wMDEuanBnfDI5MjQ1ZGJkMzk5NmY2YzUxMmY3ZTRhMjU0MzdkYTVhMzdiYjNlOWZhM2U2YWQyZDZiOGNjMzQzM2FkZTliYTU"
